,year,place_name,web_url,category,primary_use,address,city,ownership,location,image_url,ratings,description,province,country
0,2017,221A Artist Run Centre,www.221a.ca/?,gallery,Museum/Gallery,"221 E Georgia St, Vancouver, BC, V6A 1Z6",Strathcona,Privately Owned,"{""coordinates"": [-123.098796, 49.278786], ""type"": ""Point""}",https://firebasestorage.googleapis.com/v0/b/explorer-8b11d.appspot.com/o/3.jpg?alt=media&token=bd6228bb-e568-42b3-a506-3a551b5e8255,4,"orem ipsum dolor sit amet, consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Donec quam felis, ultricies nec, pellentesque eu, pretium quis, sem. Nulla consequat massa quis enim. Donec pede justo, fringilla vel, aliquet nec, vulputate eget, arcu. In enim justo, rhoncus ut, imperdiet a, venenatis vitae, justo. Nullam dictum felis eu pede mollis pretium. Integer tincidunt. Cras dapibus. Vivamus elementum semper nisi. Aenean vulputate eleifend tellus. Aenean leo ligula.",british columbia,Canada
1,2017,222 E Georgia Studios,http://projectspace.ca/blog/,gallery,Artist Studio,"222 E Georgia St, Vancouver, BC, V6A 1Z7",Strathcona,Privately Owned,"{""coordinates"": [-123.098829, 49.278453], ""type"": ""Point""}",https://firebasestorage.googleapis.com/v0/b/explorer-8b11d.appspot.com/o/1.jpg?alt=media&token=f4afc4cd-62f2-4c11-8a98-b947ab47113b,4,"orem ipsum dolor sit amet, consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Donec quam felis, ultricies nec, pellentesque eu, pretium quis, sem. Nulla consequat massa quis enim. Donec pede justo, fringilla vel, aliquet nec, vulputate eget, arcu. In enim justo, rhoncus ut, imperdiet a, venenatis vitae, justo. Nullam dictum felis eu pede mollis pretium. Integer tincidunt. Cras dapibus. Vivamus elementum semper nisi. Aenean vulputate eleifend tellus. Aenean leo ligula.",british columbia,Canada
2,2017,Aberthau Mansion/West Point Grey Community Centre,,rehearsal,Community Centre/Hall,"4397 W 2nd Av, Vancouver, BC, V6R 1K4",West Point Grey,City of Vancouver,"{""coordinates"": [-123.205213, 49.271511], ""type"": ""Point""}",https://firebasestorage.googleapis.com/v0/b/explorer-8b11d.appspot.com/o/1.jpg?alt=media&token=f4afc4cd-62f2-4c11-8a98-b947ab47113b,5,"orem ipsum dolor sit amet, consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Donec quam felis, ultricies nec, pellentesque eu, pretium quis, sem. Nulla consequat massa quis enim. Donec pede justo, fringilla vel, aliquet nec, vulputate eget, arcu. In enim justo, rhoncus ut, imperdiet a, venenatis vitae, justo. Nullam dictum felis eu pede mollis pretium. Integer tincidunt. Cras dapibus. Vivamus elementum semper nisi. Aenean vulputate eleifend tellus. Aenean leo ligula.",british columbia,Canada
3,2017,Alliance for Arts and Culture,http://www.allianceforarts.com,gallery,Library/Archives,"938 Howe St, Vancouver, BC, V6Z 1N9",Downtown,Privately Owned,"{""coordinates"": [-123.1228359, 49.2803099], ""type"": ""Point""}",https://firebasestorage.googleapis.com/v0/b/explorer-8b11d.appspot.com/o/3.jpg?alt=media&token=bd6228bb-e568-42b3-a506-3a551b5e8255,1,"orem ipsum dolor sit amet, consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Donec quam felis, ultricies nec, pellentesque eu, pretium quis, sem. Nulla consequat massa quis enim. Donec pede justo, fringilla vel, aliquet nec, vulputate eget, arcu. In enim justo, rhoncus ut, imperdiet a, venenatis vitae, justo. Nullam dictum felis eu pede mollis pretium. Integer tincidunt. Cras dapibus. Vivamus elementum semper nisi. Aenean vulputate eleifend tellus. Aenean leo ligula.",british columbia,Canada
4,2017,Alliance Francaise de Vancouver,http://www.alliancefrancaise.ca/,museum,Community Centre/Hall,"6161 Cambie St, Vancouver, BC, V5Z 3B2",Oakridge,Privately Owned,"{""coordinates"": [-123.1169818, 49.228879], ""type"": ""Point""}",https://firebasestorage.googleapis.com/v0/b/explorer-8b11d.appspot.com/o/11.jpg?alt=media&token=97342afb-bc0a-4809-8520-87ee55083e7c,1,"orem ipsum dolor sit amet, consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Donec quam felis, ultricies nec, pellentesque eu, pretium quis, sem. Nulla consequat massa quis enim. Donec pede justo, fringilla vel, aliquet nec, vulputate eget, arcu. In enim justo, rhoncus ut, imperdiet a, venenatis vitae, justo. Nullam dictum felis eu pede mollis pretium. Integer tincidunt. Cras dapibus. Vivamus elementum semper nisi. Aenean vulputate eleifend tellus. Aenean leo ligula.",british columbia,Canada
5,2017,Arts Club Theatre - Backstage Lounge,www.thebackstagelounge.com,performance space,Bar/Lounge/Cabaret,"1585 Johnston St, Vancouver, BC, V6H 3R9",Fairview,Government,"{""coordinates"": [-123.134363, 49.272102], ""type"": ""Point""}",https://firebasestorage.googleapis.com/v0/b/explorer-8b11d.appspot.com/o/2.jpg?alt=media&token=20660e42-c9d0-4193-b830-2af707367ed4,4,"orem ipsum dolor sit amet, consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Donec quam felis, ultricies nec, pellentesque eu, pretium quis, sem. Nulla consequat massa quis enim. Donec pede justo, fringilla vel, aliquet nec, vulputate eget, arcu. In enim justo, rhoncus ut, imperdiet a, venenatis vitae, justo. Nullam dictum felis eu pede mollis pretium. Integer tincidunt. Cras dapibus. Vivamus elementum semper nisi. Aenean vulputate eleifend tellus. Aenean leo ligula.",british columbia,Canada
6,2017,Arts Club Theatre - Granville Island Stage,www.artsclub.com,performance space,Theatre,"1585 Johnston St, Vancouver, BC, V6H 3R9",Fairview,Government,"{""coordinates"": [-123.134362, 49.272124], ""type"": ""Point""}",https://firebasestorage.googleapis.com/v0/b/explorer-8b11d.appspot.com/o/1.jpg?alt=media&token=f4afc4cd-62f2-4c11-8a98-b947ab47113b,4,"orem ipsum dolor sit amet, consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Donec quam felis, ultricies nec, pellentesque eu, pretium quis, sem. Nulla consequat massa quis enim. Donec pede justo, fringilla vel, aliquet nec, vulputate eget, arcu. In enim justo, rhoncus ut, imperdiet a, venenatis vitae, justo. Nullam dictum felis eu pede mollis pretium. Integer tincidunt. Cras dapibus. Vivamus elementum semper nisi. Aenean vulputate eleifend tellus. Aenean leo ligula.",british columbia,Canada
7,2017,Arts Umbrella,www.artsumbrella.com,rehearsal,Educational Institution,"1286 Cartwright St, Vancouver, BC, V6H 3R8",Fairview,Government,"{""coordinates"": [-123.133395, 49.269611], ""type"": ""Point""}",https://firebasestorage.googleapis.com/v0/b/explorer-8b11d.appspot.com/o/1.jpg?alt=media&token=f4afc4cd-62f2-4c11-8a98-b947ab47113b,2,"orem ipsum dolor sit amet, consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Donec quam felis, ultricies nec, pellentesque eu, pretium quis, sem. Nulla consequat massa quis enim. Donec pede justo, fringilla vel, aliquet nec, vulputate eget, arcu. In enim justo, rhoncus ut, imperdiet a, venenatis vitae, justo. Nullam dictum felis eu pede mollis pretium. Integer tincidunt. Cras dapibus. Vivamus elementum semper nisi. Aenean vulputate eleifend tellus. Aenean leo ligula.",british columbia,Canada
8,2017,Astorino's Hall,http://www.safeamp.org/events/astorinos.html,museum,Performance Space,"1739 Venables St, Vancouver, BC, V5L 2H3",Grandview-Woodland,Privately Owned,"{""coordinates"": [-123.0698555, 49.2769146], ""type"": ""Point""}",https://firebasestorage.googleapis.com/v0/b/explorer-8b11d.appspot.com/o/10.jpg?alt=media&token=41d2a644-57b0-4be2-9652-6fbbd3c6059d,1,"orem ipsum dolor sit amet, consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Donec quam felis, ultricies nec, pellentesque eu, pretium quis, sem. Nulla consequat massa quis enim. Donec pede justo, fringilla vel, aliquet nec, vulputate eget, arcu. In enim justo, rhoncus ut, imperdiet a, venenatis vitae, justo. Nullam dictum felis eu pede mollis pretium. Integer tincidunt. Cras dapibus. Vivamus elementum semper nisi. Aenean vulputate eleifend tellus. Aenean leo ligula.",british columbia,Canada
9,2017,Audain Gallery,https://www.sfu.ca/galleries/audain-gallery.html,rehearsal,Museum/Gallery,"149 W Hastings St, Vancouver, BC, V6B 1H4",Downtown,Other,"{""coordinates"": [-123.108715, 49.282395], ""type"": ""Point""}",https://firebasestorage.googleapis.com/v0/b/explorer-8b11d.appspot.com/o/2.jpg?alt=media&token=20660e42-c9d0-4193-b830-2af707367ed4,3,"orem ipsum dolor sit amet, consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Donec quam felis, ultricies nec, pellentesque eu, pretium quis, sem. Nulla consequat massa quis enim. Donec pede justo, fringilla vel, aliquet nec, vulputate eget, arcu. In enim justo, rhoncus ut, imperdiet a, venenatis vitae, justo. Nullam dictum felis eu pede mollis pretium. Integer tincidunt. Cras dapibus. Vivamus elementum semper nisi. Aenean vulputate eleifend tellus. Aenean leo ligula.",british columbia,Canada
